Category	Field	Description
SOCIAL	SOCIAL-HC01_VC198	Estimate; ANCESTRY - Polish
SOCIAL	SOCIAL-HC02_VC198	Margin of Error; ANCESTRY - Polish
SOCIAL	SOCIAL-HC03_VC198	Percent; ANCESTRY - Polish
SOCIAL	SOCIAL-HC04_VC198	Percent Margin of Error; ANCESTRY - Polish
SOCIAL	SOCIAL-HC01_VC199	Estimate; ANCESTRY - Portuguese
SOCIAL	SOCIAL-HC02_VC199	Margin of Error; ANCESTRY - Portuguese
SOCIAL	SOCIAL-HC03_VC199	Percent; ANCESTRY - Portuguese
SOCIAL	SOCIAL-HC04_VC199	Percent Margin of Error; ANCESTRY - Portuguese
SOCIAL	SOCIAL-HC01_VC200	Estimate; ANCESTRY - Russian
SOCIAL	SOCIAL-HC02_VC200	Margin of Error; ANCESTRY - Russian
SOCIAL	SOCIAL-HC03_VC200	Percent; ANCESTRY - Russian
SOCIAL	SOCIAL-HC04_VC200	Percent Margin of Error; ANCESTRY - Russian
SOCIAL	SOCIAL-HC01_VC201	Estimate; ANCESTRY - Scotch-Irish
SOCIAL	SOCIAL-HC02_VC201	Margin of Error; ANCESTRY - Scotch-Irish
SOCIAL	SOCIAL-HC03_VC201	Percent; ANCESTRY - Scotch-Irish
SOCIAL	SOCIAL-HC04_VC201	Percent Margin of Error; ANCESTRY - Scotch-Irish
SOCIAL	SOCIAL-HC01_VC202	Estimate; ANCESTRY - Scottish
SOCIAL	SOCIAL-HC02_VC202	Margin of Error; ANCESTRY - Scottish
SOCIAL	SOCIAL-HC03_VC202	Percent; ANCESTRY - Scottish
SOCIAL	SOCIAL-HC04_VC202	Percent Margin of Error; ANCESTRY - Scottish
SOCIAL	SOCIAL-HC01_VC203	Estimate; ANCESTRY - Slovak
SOCIAL	SOCIAL-HC02_VC203	Margin of Error; ANCESTRY - Slovak
SOCIAL	SOCIAL-HC03_VC203	Percent; ANCESTRY - Slovak
SOCIAL	SOCIAL-HC04_VC203	Percent Margin of Error; ANCESTRY - Slovak
SOCIAL	SOCIAL-HC01_VC204	Estimate; ANCESTRY - Subsaharan African
SOCIAL	SOCIAL-HC02_VC204	Margin of Error; ANCESTRY - Subsaharan African
SOCIAL	SOCIAL-HC03_VC204	Percent; ANCESTRY - Subsaharan African
SOCIAL	SOCIAL-HC04_VC204	Percent Margin of Error; ANCESTRY - Subsaharan African
SOCIAL	SOCIAL-HC01_VC205	Estimate; ANCESTRY - Swedish
SOCIAL	SOCIAL-HC02_VC205	Margin of Error; ANCESTRY - Swedish
SOCIAL	SOCIAL-HC03_VC205	Percent; ANCESTRY - Swedish
SOCIAL	SOCIAL-HC04_VC205	Percent Margin of Error; ANCESTRY - Swedish
SOCIAL	SOCIAL-HC01_VC206	Estimate; ANCESTRY - Swiss
SOCIAL	SOCIAL-HC02_VC206	Margin of Error; ANCESTRY - Swiss
SOCIAL	SOCIAL-HC03_VC206	Percent; ANCESTRY - Swiss
SOCIAL	SOCIAL-HC04_VC206	Percent Margin of Error; ANCESTRY - Swiss
SOCIAL	SOCIAL-HC01_VC207	Estimate; ANCESTRY - Ukrainian
SOCIAL	SOCIAL-HC02_VC207	Margin of Error; ANCESTRY - Ukrainian
SOCIAL	SOCIAL-HC03_VC207	Percent; ANCESTRY - Ukrainian
SOCIAL	SOCIAL-HC04_VC207	Percent Margin of Error; ANCESTRY - Ukrainian
SOCIAL	SOCIAL-HC01_VC208	Estimate; ANCESTRY - Welsh
SOCIAL	SOCIAL-HC02_VC208	Margin of Error; ANCESTRY - Welsh
SOCIAL	SOCIAL-HC03_VC208	Percent; ANCESTRY - Welsh
SOCIAL	SOCIAL-HC04_VC208	Percent Margin of Error; ANCESTRY - Welsh
SOCIAL	SOCIAL-HC01_VC209	Estimate; ANCESTRY - West Indian (excluding Hispanic origin groups)
SOCIAL	SOCIAL-HC02_VC209	Margin of Error; ANCESTRY - West Indian (excluding Hispanic origin groups)
SOCIAL	SOCIAL-HC03_VC209	Percent; ANCESTRY - West Indian (excluding Hispanic origin groups)
SOCIAL	SOCIAL-HC04_VC209	Percent Margin of Error; ANCESTRY - West Indian (excluding Hispanic origin groups)
ECONOMIC	ECONOMIC-HC01_VC04	Estimate; EMPLOYMENT STATUS - Population 16 years and over
ECONOMIC	ECONOMIC-HC02_VC04	Margin of Error; EMPLOYMENT STATUS - Population 16 years and over
ECONOMIC	ECONOMIC-HC03_VC04	Percent; EMPLOYMENT STATUS - Population 16 years and over
ECONOMIC	ECONOMIC-HC01_VC05	Estimate; EMPLOYMENT STATUS - In labor force
ECONOMIC	ECONOMIC-HC02_VC05	Margin of Error; EMPLOYMENT STATUS - In labor force
ECONOMIC	ECONOMIC-HC03_VC05	Percent; EMPLOYMENT STATUS - In labor force
ECONOMIC	ECONOMIC-HC04_VC05	Percent Margin of Error; EMPLOYMENT STATUS - In labor force
ECONOMIC	ECONOMIC-HC01_VC06	Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force
ECONOMIC	ECONOMIC-HC02_VC06	Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force
ECONOMIC	ECONOMIC-HC03_VC06	Percent; EMPLOYMENT STATUS - In labor force - Civilian labor force
ECONOMIC	ECONOMIC-HC04_VC06	Percent Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force
ECONOMIC	ECONOMIC-HC01_VC07	Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
ECONOMIC	ECONOMIC-HC02_VC07	Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
ECONOMIC	ECONOMIC-HC03_VC07	Percent; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
ECONOMIC	ECONOMIC-HC04_VC07	Percent Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
ECONOMIC	ECONOMIC-HC01_VC08	Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force - Unemployed
ECONOMIC	ECONOMIC-HC02_VC08	Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force - Unemployed
ECONOMIC	ECONOMIC-HC03_VC08	Percent; EMPLOYMENT STATUS - In labor force - Civilian labor force - Unemployed
ECONOMIC	ECONOMIC-HC04_VC08	Percent Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force - Unemployed
ECONOMIC	ECONOMIC-HC01_VC09	Estimate; EMPLOYMENT STATUS - In labor force - Armed Forces
ECONOMIC	ECONOMIC-HC02_VC09	Margin of Error; EMPLOYMENT STATUS - In labor force - Armed Forces
ECONOMIC	ECONOMIC-HC03_VC09	Percent; EMPLOYMENT STATUS - In labor force - Armed Forces
ECONOMIC	ECONOMIC-HC04_VC09	Percent Margin of Error; EMPLOYMENT STATUS - In labor force - Armed Forces
ECONOMIC	ECONOMIC-HC01_VC10	Estimate; EMPLOYMENT STATUS - Not in labor force
ECONOMIC	ECONOMIC-HC02_VC10	Margin of Error; EMPLOYMENT STATUS - Not in labor force
ECONOMIC	ECONOMIC-HC03_VC10	Percent; EMPLOYMENT STATUS - Not in labor force
ECONOMIC	ECONOMIC-HC04_VC10	Percent Margin of Error; EMPLOYMENT STATUS - Not in labor force
ECONOMIC	ECONOMIC-HC01_VC12	Estimate; EMPLOYMENT STATUS - Civilian labor force
ECONOMIC	ECONOMIC-HC02_VC12	Margin of Error; EMPLOYMENT STATUS - Civilian labor force
ECONOMIC	ECONOMIC-HC03_VC12	Percent; EMPLOYMENT STATUS - Civilian labor force
ECONOMIC	ECONOMIC-HC03_VC13	Percent; EMPLOYMENT STATUS - Percent Unemployed
ECONOMIC	ECONOMIC-HC04_VC13	Percent Margin of Error; EMPLOYMENT STATUS - Percent Unemployed
ECONOMIC	ECONOMIC-HC01_VC15	Estimate; EMPLOYMENT STATUS - Females 16 years and over
ECONOMIC	ECONOMIC-HC02_VC15	Margin of Error; EMPLOYMENT STATUS - Females 16 years and over
ECONOMIC	ECONOMIC-HC03_VC15	Percent; EMPLOYMENT STATUS - Females 16 years and over
ECONOMIC	ECONOMIC-HC01_VC16	Estimate; EMPLOYMENT STATUS - In labor force
ECONOMIC	ECONOMIC-HC02_VC16	Margin of Error; EMPLOYMENT STATUS - In labor force
ECONOMIC	ECONOMIC-HC03_VC16	Percent; EMPLOYMENT STATUS - In labor force
ECONOMIC	ECONOMIC-HC04_VC16	Percent Margin of Error; EMPLOYMENT STATUS - In labor force
ECONOMIC	ECONOMIC-HC01_VC17	Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force
ECONOMIC	ECONOMIC-HC02_VC17	Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force
ECONOMIC	ECONOMIC-HC03_VC17	Percent; EMPLOYMENT STATUS - In labor force - Civilian labor force
ECONOMIC	ECONOMIC-HC04_VC17	Percent Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force
ECONOMIC	ECONOMIC-HC01_VC18	Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
ECONOMIC	ECONOMIC-HC02_VC18	Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
ECONOMIC	ECONOMIC-HC03_VC18	Percent; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
ECONOMIC	ECONOMIC-HC04_VC18	Percent Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
ECONOMIC	ECONOMIC-HC01_VC20	Estimate; EMPLOYMENT STATUS - Own children under 6 years
ECONOMIC	ECONOMIC-HC02_VC20	Margin of Error; EMPLOYMENT STATUS - Own children under 6 years
ECONOMIC	ECONOMIC-HC03_VC20	Percent; EMPLOYMENT STATUS - Own children under 6 years
ECONOMIC	ECONOMIC-HC01_VC21	Estimate; EMPLOYMENT STATUS - All parents in family in labor force
ECONOMIC	ECONOMIC-HC02_VC21	Margin of Error; EMPLOYMENT STATUS - All parents in family in labor force
ECONOMIC	ECONOMIC-HC03_VC21	Percent; EMPLOYMENT STATUS - All parents in family in labor force
ECONOMIC	ECONOMIC-HC04_VC21	Percent Margin of Error; EMPLOYMENT STATUS - All parents in family in labor force
ECONOMIC	ECONOMIC-HC01_VC23	Estimate; EMPLOYMENT STATUS - Own children 6 to 17 years
ECONOMIC	ECONOMIC-HC02_VC23	Margin of Error; EMPLOYMENT STATUS - Own children 6 to 17 years
ECONOMIC	ECONOMIC-HC03_VC23	Percent; EMPLOYMENT STATUS - Own children 6 to 17 years
ECONOMIC	ECONOMIC-HC01_VC24	Estimate; EMPLOYMENT STATUS - All parents in family in labor force
ECONOMIC	ECONOMIC-HC02_VC24	Margin of Error; EMPLOYMENT STATUS - All parents in family in labor force
ECONOMIC	ECONOMIC-HC03_VC24	Percent; EMPLOYMENT STATUS - All parents in family in labor force
ECONOMIC	ECONOMIC-HC04_VC24	Percent Margin of Error; EMPLOYMENT STATUS - All parents in family in labor force
ECONOMIC	ECONOMIC-HC01_VC28	Estimate; COMMUTING TO WORK - Workers 16 years and over
ECONOMIC	ECONOMIC-HC02_VC28	Margin of Error; COMMUTING TO WORK - Workers 16 years and over
ECONOMIC	ECONOMIC-HC03_VC28	Percent; COMMUTING TO WORK - Workers 16 years and over
ECONOMIC	ECONOMIC-HC01_VC29	"Estimate; COMMUTING TO WORK - Car, truck, or van -- drove alone"
ECONOMIC	ECONOMIC-HC02_VC29	"Margin of Error; COMMUTING TO WORK - Car, truck, or van -- drove alone"
ECONOMIC	ECONOMIC-HC03_VC29	"Percent; COMMUTING TO WORK - Car, truck, or van -- drove alone"
ECONOMIC	ECONOMIC-HC04_VC29	"Percent Margin of Error; COMMUTING TO WORK - Car, truck, or van -- drove alone"
ECONOMIC	ECONOMIC-HC01_VC30	"Estimate; COMMUTING TO WORK - Car, truck, or van -- carpooled"
ECONOMIC	ECONOMIC-HC02_VC30	"Margin of Error; COMMUTING TO WORK - Car, truck, or van -- carpooled"
ECONOMIC	ECONOMIC-HC03_VC30	"Percent; COMMUTING TO WORK - Car, truck, or van -- carpooled"
ECONOMIC	ECONOMIC-HC04_VC30	"Percent Margin of Error; COMMUTING TO WORK - Car, truck, or van -- carpooled"
ECONOMIC	ECONOMIC-HC01_VC31	Estimate; COMMUTING TO WORK - Public transportation (excluding taxicab)
ECONOMIC	ECONOMIC-HC02_VC31	Margin of Error; COMMUTING TO WORK - Public transportation (excluding taxicab)
ECONOMIC	ECONOMIC-HC03_VC31	Percent; COMMUTING TO WORK - Public transportation (excluding taxicab)
ECONOMIC	ECONOMIC-HC04_VC31	Percent Margin of Error; COMMUTING TO WORK - Public transportation (excluding taxicab)
ECONOMIC	ECONOMIC-HC01_VC32	Estimate; COMMUTING TO WORK - Walked
ECONOMIC	ECONOMIC-HC02_VC32	Margin of Error; COMMUTING TO WORK - Walked
ECONOMIC	ECONOMIC-HC03_VC32	Percent; COMMUTING TO WORK - Walked
ECONOMIC	ECONOMIC-HC04_VC32	Percent Margin of Error; COMMUTING TO WORK - Walked
ECONOMIC	ECONOMIC-HC01_VC33	Estimate; COMMUTING TO WORK - Other means
ECONOMIC	ECONOMIC-HC02_VC33	Margin of Error; COMMUTING TO WORK - Other means
ECONOMIC	ECONOMIC-HC03_VC33	Percent; COMMUTING TO WORK - Other means
ECONOMIC	ECONOMIC-HC04_VC33	Percent Margin of Error; COMMUTING TO WORK - Other means
ECONOMIC	ECONOMIC-HC01_VC34	Estimate; COMMUTING TO WORK - Worked at home
ECONOMIC	ECONOMIC-HC02_VC34	Margin of Error; COMMUTING TO WORK - Worked at home
ECONOMIC	ECONOMIC-HC03_VC34	Percent; COMMUTING TO WORK - Worked at home
ECONOMIC	ECONOMIC-HC04_VC34	Percent Margin of Error; COMMUTING TO WORK - Worked at home
ECONOMIC	ECONOMIC-HC01_VC36	Estimate; COMMUTING TO WORK - Mean travel time to work (minutes)
ECONOMIC	ECONOMIC-HC02_VC36	Margin of Error; COMMUTING TO WORK - Mean travel time to work (minutes)
ECONOMIC	ECONOMIC-HC01_VC40	Estimate; OCCUPATION - Civilian employed population 16 years and over
ECONOMIC	ECONOMIC-HC02_VC40	Margin of Error; OCCUPATION - Civilian employed population 16 years and over
ECONOMIC	ECONOMIC-HC03_VC40	Percent; OCCUPATION - Civilian employed population 16 years and over
ECONOMIC	ECONOMIC-HC01_VC41	"Estimate; OCCUPATION - Management, business, science, and arts occupations"
ECONOMIC	ECONOMIC-HC02_VC41	"Margin of Error; OCCUPATION - Management, business, science, and arts occupations"
ECONOMIC	ECONOMIC-HC03_VC41	"Percent; OCCUPATION - Management, business, science, and arts occupations"
ECONOMIC	ECONOMIC-HC04_VC41	"Percent Margin of Error; OCCUPATION - Management, business, science, and arts occupations"
ECONOMIC	ECONOMIC-HC01_VC42	Estimate; OCCUPATION - Service occupations
ECONOMIC	ECONOMIC-HC02_VC42	Margin of Error; OCCUPATION - Service occupations
ECONOMIC	ECONOMIC-HC03_VC42	Percent; OCCUPATION - Service occupations
ECONOMIC	ECONOMIC-HC04_VC42	Percent Margin of Error; OCCUPATION - Service occupations
ECONOMIC	ECONOMIC-HC01_VC43	Estimate; OCCUPATION - Sales and office occupations
ECONOMIC	ECONOMIC-HC02_VC43	Margin of Error; OCCUPATION - Sales and office occupations
ECONOMIC	ECONOMIC-HC03_VC43	Percent; OCCUPATION - Sales and office occupations
ECONOMIC	ECONOMIC-HC04_VC43	Percent Margin of Error; OCCUPATION - Sales and office occupations
ECONOMIC	ECONOMIC-HC01_VC44	"Estimate; OCCUPATION - Natural resources, construction, and maintenance occupations"
ECONOMIC	ECONOMIC-HC02_VC44	"Margin of Error; OCCUPATION - Natural resources, construction, and maintenance occupations"
ECONOMIC	ECONOMIC-HC03_VC44	"Percent; OCCUPATION - Natural resources, construction, and maintenance occupations"
ECONOMIC	ECONOMIC-HC04_VC44	"Percent Margin of Error; OCCUPATION - Natural resources, construction, and maintenance occupations"
ECONOMIC	ECONOMIC-HC01_VC45	"Estimate; OCCUPATION - Production, transportation, and material moving occupations"
ECONOMIC	ECONOMIC-HC02_VC45	"Margin of Error; OCCUPATION - Production, transportation, and material moving occupations"
ECONOMIC	ECONOMIC-HC03_VC45	"Percent; OCCUPATION - Production, transportation, and material moving occupations"
ECONOMIC	ECONOMIC-HC04_VC45	"Percent Margin of Error; OCCUPATION - Production, transportation, and material moving occupations"
ECONOMIC	ECONOMIC-HC01_VC49	Estimate; INDUSTRY - Civilian employed population 16 years and over
ECONOMIC	ECONOMIC-HC02_VC49	Margin of Error; INDUSTRY - Civilian employed population 16 years and over
ECONOMIC	ECONOMIC-HC03_VC49	Percent; INDUSTRY - Civilian employed population 16 years and over
ECONOMIC	ECONOMIC-HC01_VC50	"Estimate; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
ECONOMIC	ECONOMIC-HC02_VC50	"Margin of Error; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
ECONOMIC	ECONOMIC-HC03_VC50	"Percent; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
ECONOMIC	ECONOMIC-HC04_VC50	"Percent Margin of Error; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
ECONOMIC	ECONOMIC-HC01_VC51	Estimate; INDUSTRY - Construction
ECONOMIC	ECONOMIC-HC02_VC51	Margin of Error; INDUSTRY - Construction
ECONOMIC	ECONOMIC-HC03_VC51	Percent; INDUSTRY - Construction
ECONOMIC	ECONOMIC-HC04_VC51	Percent Margin of Error; INDUSTRY - Construction
ECONOMIC	ECONOMIC-HC01_VC52	Estimate; INDUSTRY - Manufacturing
ECONOMIC	ECONOMIC-HC02_VC52	Margin of Error; INDUSTRY - Manufacturing
ECONOMIC	ECONOMIC-HC03_VC52	Percent; INDUSTRY - Manufacturing
ECONOMIC	ECONOMIC-HC04_VC52	Percent Margin of Error; INDUSTRY - Manufacturing
ECONOMIC	ECONOMIC-HC01_VC53	Estimate; INDUSTRY - Wholesale trade
ECONOMIC	ECONOMIC-HC02_VC53	Margin of Error; INDUSTRY - Wholesale trade
ECONOMIC	ECONOMIC-HC03_VC53	Percent; INDUSTRY - Wholesale trade
ECONOMIC	ECONOMIC-HC04_VC53	Percent Margin of Error; INDUSTRY - Wholesale trade
ECONOMIC	ECONOMIC-HC01_VC54	Estimate; INDUSTRY - Retail trade
ECONOMIC	ECONOMIC-HC02_VC54	Margin of Error; INDUSTRY - Retail trade
ECONOMIC	ECONOMIC-HC03_VC54	Percent; INDUSTRY - Retail trade
ECONOMIC	ECONOMIC-HC04_VC54	Percent Margin of Error; INDUSTRY - Retail trade
ECONOMIC	ECONOMIC-HC01_VC55	"Estimate; INDUSTRY - Transportation and warehousing, and utilities"
ECONOMIC	ECONOMIC-HC02_VC55	"Margin of Error; INDUSTRY - Transportation and warehousing, and utilities"
ECONOMIC	ECONOMIC-HC03_VC55	"Percent; INDUSTRY - Transportation and warehousing, and utilities"
ECONOMIC	ECONOMIC-HC04_VC55	"Percent Margin of Error; INDUSTRY - Transportation and warehousing, and utilities"
ECONOMIC	ECONOMIC-HC01_VC56	Estimate; INDUSTRY - Information
ECONOMIC	ECONOMIC-HC02_VC56	Margin of Error; INDUSTRY - Information
ECONOMIC	ECONOMIC-HC03_VC56	Percent; INDUSTRY - Information
ECONOMIC	ECONOMIC-HC04_VC56	Percent Margin of Error; INDUSTRY - Information
ECONOMIC	ECONOMIC-HC01_VC57	"Estimate; INDUSTRY - Finance and insurance, and real estate and rental and leasing"
ECONOMIC	ECONOMIC-HC02_VC57	"Margin of Error; INDUSTRY - Finance and insurance, and real estate and rental and leasing"
ECONOMIC	ECONOMIC-HC03_VC57	"Percent; INDUSTRY - Finance and insurance, and real estate and rental and leasing"
ECONOMIC	ECONOMIC-HC04_VC57	"Percent Margin of Error; INDUSTRY - Finance and insurance, and real estate and rental and leasing"
ECONOMIC	ECONOMIC-HC01_VC58	"Estimate; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
ECONOMIC	ECONOMIC-HC02_VC58	"Margin of Error; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
ECONOMIC	ECONOMIC-HC03_VC58	"Percent; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
ECONOMIC	ECONOMIC-HC04_VC58	"Percent Margin of Error; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
ECONOMIC	ECONOMIC-HC01_VC59	"Estimate; INDUSTRY - Educational services, and health care and social assistance"
ECONOMIC	ECONOMIC-HC02_VC59	"Margin of Error; INDUSTRY - Educational services, and health care and social assistance"
ECONOMIC	ECONOMIC-HC03_VC59	"Percent; INDUSTRY - Educational services, and health care and social assistance"
ECONOMIC	ECONOMIC-HC04_VC59	"Percent Margin of Error; INDUSTRY - Educational services, and health care and social assistance"
ECONOMIC	ECONOMIC-HC01_VC60	"Estimate; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
ECONOMIC	ECONOMIC-HC02_VC60	"Margin of Error; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
ECONOMIC	ECONOMIC-HC03_VC60	"Percent; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
ECONOMIC	ECONOMIC-HC04_VC60	"Percent Margin of Error; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
ECONOMIC	ECONOMIC-HC01_VC61	"Estimate; INDUSTRY - Other services, except public administration"
ECONOMIC	ECONOMIC-HC02_VC61	"Margin of Error; INDUSTRY - Other services, except public administration"
ECONOMIC	ECONOMIC-HC03_VC61	"Percent; INDUSTRY - Other services, except public administration"
ECONOMIC	ECONOMIC-HC04_VC61	"Percent Margin of Error; INDUSTRY - Other services, except public administration"
ECONOMIC	ECONOMIC-HC01_VC62	Estimate; INDUSTRY - Public administration
ECONOMIC	ECONOMIC-HC02_VC62	Margin of Error; INDUSTRY - Public administration
ECONOMIC	ECONOMIC-HC03_VC62	Percent; INDUSTRY - Public administration
ECONOMIC	ECONOMIC-HC04_VC62	Percent Margin of Error; INDUSTRY - Public administration
ECONOMIC	ECONOMIC-HC01_VC66	Estimate; CLASS OF WORKER - Civilian employed population 16 years and over
ECONOMIC	ECONOMIC-HC02_VC66	Margin of Error; CLASS OF WORKER - Civilian employed population 16 years and over
ECONOMIC	ECONOMIC-HC03_VC66	Percent; CLASS OF WORKER - Civilian employed population 16 years and over
ECONOMIC	ECONOMIC-HC01_VC67	Estimate; CLASS OF WORKER - Private wage and salary workers
ECONOMIC	ECONOMIC-HC02_VC67	Margin of Error; CLASS OF WORKER - Private wage and salary workers
ECONOMIC	ECONOMIC-HC03_VC67	Percent; CLASS OF WORKER - Private wage and salary workers
ECONOMIC	ECONOMIC-HC04_VC67	Percent Margin of Error; CLASS OF WORKER - Private wage and salary workers
ECONOMIC	ECONOMIC-HC01_VC68	Estimate; CLASS OF WORKER - Government workers
ECONOMIC	ECONOMIC-HC02_VC68	Margin of Error; CLASS OF WORKER - Government workers
ECONOMIC	ECONOMIC-HC03_VC68	Percent; CLASS OF WORKER - Government workers
ECONOMIC	ECONOMIC-HC04_VC68	Percent Margin of Error; CLASS OF WORKER - Government workers
ECONOMIC	ECONOMIC-HC01_VC69	Estimate; CLASS OF WORKER - Self-employed in own not incorporated business workers
ECONOMIC	ECONOMIC-HC02_VC69	Margin of Error; CLASS OF WORKER - Self-employed in own not incorporated business workers
ECONOMIC	ECONOMIC-HC03_VC69	Percent; CLASS OF WORKER - Self-employed in own not incorporated business workers
ECONOMIC	ECONOMIC-HC04_VC69	Percent Margin of Error; CLASS OF WORKER - Self-employed in own not incorporated business workers
ECONOMIC	ECONOMIC-HC01_VC70	Estimate; CLASS OF WORKER - Unpaid family workers
ECONOMIC	ECONOMIC-HC02_VC70	Margin of Error; CLASS OF WORKER - Unpaid family workers
ECONOMIC	ECONOMIC-HC03_VC70	Percent; CLASS OF WORKER - Unpaid family workers
ECONOMIC	ECONOMIC-HC04_VC70	Percent Margin of Error; CLASS OF WORKER - Unpaid family workers
ECONOMIC	ECONOMIC-HC01_VC74	Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Total households
ECONOMIC	ECONOMIC-HC02_VC74	Margin of Error; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Total households
ECONOMIC	ECONOMIC-HC03_VC74	Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Total households
ECONOMIC	ECONOMIC-HC01_VC75	"Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Less than $10,000"
ECONOMIC	ECONOMIC-HC02_VC75	"Margin of Error; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Less than $10,000"
ECONOMIC	ECONOMIC-HC03_VC75	"Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Less than $10,000"
ECONOMIC	ECONOMIC-HC04_VC75	"Percent Margin of Error; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Less than $10,000"
ECONOMIC	ECONOMIC-HC01_VC76	"Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999"
ECONOMIC	ECONOMIC-HC02_VC76	"Margin of Error; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999"
ECONOMIC	ECONOMIC-HC03_VC76	"Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999"
ECONOMIC	ECONOMIC-HC04_VC76	"Percent Margin of Error; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999"
ECONOMIC	ECONOMIC-HC01_VC77	"Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $15,000 to $24,999"
ECONOMIC	ECONOMIC-HC02_VC77	"Margin of Error; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $15,000 to $24,999"
ECONOMIC	ECONOMIC-HC03_VC77	"Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $15,000 to $24,999"
ECONOMIC	ECONOMIC-HC04_VC77	"Percent Margin of Error; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $15,000 to $24,999"
ECONOMIC	ECONOMIC-HC01_VC78	"Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $25,000 to $34,999"
ECONOMIC	ECONOMIC-HC02_VC78	"Margin of Error; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $25,000 to $34,999"
ECONOMIC	ECONOMIC-HC03_VC78	"Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $25,000 to $34,999"
ECONOMIC	ECONOMIC-HC04_VC78	"Percent Margin of Error; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $25,000 to $34,999"
ECONOMIC	ECONOMIC-HC01_VC79	"Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $35,000 to $49,999"
ECONOMIC	ECONOMIC-HC02_VC79	"Margin of Error; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $35,000 to $49,999"
ECONOMIC	ECONOMIC-HC03_VC79	"Percent; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $35,000 to $49,999"
ECONOMIC	ECONOMIC-HC04_VC79	"Percent Margin of Error; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $35,000 to $49,999"
ECONOMIC	ECONOMIC-HC01_VC80	"Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - $50,000 to $74,999"
